Quellenname;X;Y;Höhe
Staumauer;475.832.360;129.061.888;782,3339844
WV Berchtesgaden;475.840.960;129.056.253;775,117981
Schwarzbachloch;47.635.770;128.465.766;833,3740234
Gletscherquellen;476.069.155;128.809.514;706,2360229
Salet;475.212.124;129.751.628;603,5689697
Lagune;475.224.548;129.650.320;603,4650269
Schapbach;475.816.779;129.578.085;1180,219971
Koppenwand;475.926.841;129.285.818;895,7520142
Bartler;475.951.657;129.200.672;715,7219849
Eckau;47.600.576;128.959.704;858,2979736
Seeklaus;475.982.469;128.535.859;864,1010132
Schwarzbrunn;475.845.788;128.302.764;865,414978
Mittereis;475.572.192;128.034.971;1273,530029
Engert;475.759.133;128.072.241;947,1010132
Klauswandl;475.693.498;128.042.961;1105,410034
Baerenwand;475.679.006;130.307.769;1565,670044
Koenigsbach;475.665.496;130.155.668;1215,349976
Herrenroint oben;475.775.013;129.711.978;1290,25
Herrenroint unten;475.792.759;129.724.751;1238,609985
