ID;Datum;BEOCODE;QUELLNR;O2 Milligram;O2 Prozent;Leitfaehigkeit;pH;TEMP_WASSER;Schuettung;SCHUETTUNG_METHODE;FOTO;BEMERKUNG;TEMP_LUFT;SCHUETTUNG_GESAMT;WETTER_VORTAG;WETTER_MESSTAG;Month
85;09.01.2012;328;503;10,02;86,4;197,3;7,87;5,3;5;1;1;15m unterhalb der BrŸcke;NA;NA;7;6;NA
89;09.01.2012;328;350;10,84;96,1;NA;8,13;4,9;0,5;1;1;ziemlich zugeschneit;NA;NA;7;4;NA
86;09.01.2012;328;0;10,63;90,8;237;7,75;6;0,4;1;1;35m unterhalb der BrŸcke;NA;NA;7;6;NA
88;10.01.2012;328;576;10,42;92,7;224;8,01;7,3;110;1;1;;NA;NA;6;4;NA
91;10.01.2012;328;578;10,66;94,3;230;8,12;7;40;1;1;;NA;NA;6;4;NA
84;10.01.2012;328;459;10,88;94,5;183;7,9;4,7;12;1;1;7m unterhalb der Wand w/3m zugeschneit;NA;NA;6;4;NA
87;10.01.2012;328;592;11,13;93,8;218,4;8,16;5,3;7;1;1;;NA;NA;6;4;NA
108;23.01.2012;328;576;10,15;90,9;226;8,06;6,9;115;1;1;;NA;NA;0;0;NA
111;23.01.2012;328;578;10,65;94;231;8,05;6,5;45;1;1;;NA;NA;0;0;NA
105;23.01.2012;328;503;10,14;89,1;189,6;7,84;5,6;12;1;1;15m unterhalb der BrŸcke;NA;NA;0;0;NA
107;23.01.2012;328;592;10,92;93,5;217,2;8,15;5,4;10;1;1;Ya;NA;NA;0;0;NA
106;23.01.2012;328;0;10,57;91,6;222;7,83;6,3;5;1;1;35m unterhalb der BrŸcke;NA;NA;0;0;NA
109;23.01.2012;328;350;10,34;93,8;264;8,03;5;0,5;1;1;Ya;NA;NA;0;0;NA
104;24.01.2012;328;459;10,7;94,5;192,9;8,04;4,9;12;1;1;15mvor der Wand;NA;NA;0;0;NA
110;24.01.2012;328;978;10,47;90,9;201,5;7,33;6,1;3;1;1;;NA;NA;0;0;NA
130;06.02.2012;328;578;10,59;92,8;230;8,15;6,9;40;1;1;;NA;NA;1;1;NA
124;06.02.2012;328;459;10,75;93,8;185,6;8,15;4,6;10;1;1;15mvor der Wand;NA;NA;1;1;NA
127;06.02.2012;328;592;10,85;92,5;216,7;7,61;5,5;7;1;1;;NA;NA;1;1;NA
125;06.02.2012;328;503;9,77;84,6;200,8;7,82;5,3;5;1;1;20m unterhalb des Wegs;NA;NA;1;1;NA
126;06.02.2012;328;0;10,52;89,7;253;7,75;5,7;1;1;1;30m unterhalb des Stegs;NA;NA;1;1;NA
129;08.02.2012;328;350;10,44;93,8;259;7,87;5;0,5;1;1;;NA;NA;6;1;NA
148;22.02.2012;328;576;10,21;90;225;7,82;6,9;80;1;1;;NA;NA;1;1;NA
150;22.02.2012;328;578;10,48;92,2;230;8,15;6,9;30;1;1;;NA;NA;1;1;NA
144;22.02.2012;328;459;;92,6;180;8,03;4,9;8;1;1;15mvor der Wand;NA;NA;1;1;NA
147;22.02.2012;328;592;10,87;92,4;215,3;8,03;5,3;3;1;1;;NA;NA;1;1;NA
145;22.02.2012;328;503;8,88;76,4;211,9;7,75;5,2;0,5;1;1;25m unterhalb des Wegs;NA;NA;1;1;NA
146;22.02.2012;328;0;10,86;87,3;248;7,99;3,8;0,1;1;1;35m unterhalb der BrŸcke;NA;NA;1;1;NA
149;23.02.2012;328;350;10,35;93,1;264;8,04;5,1;0,5;1;1;;NA;NA;1;1;NA
151;28.02.2012;328;978;10,56;92,1;193,1;7,45;6,3;5;1;1;;NA;NA;0;0;NA
168;06.03.2012;328;576;10,16;91,4;212,9;8;7;80;1;1;;NA;NA;6;2;NA
171;06.03.2012;328;578;10,42;93,4;218,7;8,14;7,1;30;1;1;;NA;NA;6;2;NA
167;06.03.2012;328;592;10,9;93;220;8,19;5,4;15;1;1;;NA;NA;6;2;NA
170;06.03.2012;328;978;10,7;92,7;182,9;7,35;6,1;10;1;1;;NA;NA;6;2;NA
164;06.03.2012;328;459;10,69;94,4;184;8,17;5;8;1;1;8m unterhalb der Wand;NA;NA;6;2;NA
165;06.03.2012;328;503;10,14;88,5;179,3;7,95;5,5;5;1;1;15m unterhalb der BrŸcke;NA;NA;6;2;NA
166;06.03.2012;328;0;10,5;91,4;204,4;7,63;6,3;1;1;1;30m unterhalb des Stegs;NA;NA;6;2;NA
169;06.03.2012;328;350;10,48;93,5;261;8,27;4,9;0,5;1;1;;NA;NA;6;2;NA
188;20.03.2012;328;576;10,05;89,9;225;8,14;7,2;80;1;1;;NA;NA;4;1;NA
190;20.03.2012;328;978;10,96;94,3;184,6;7,94;6,1;50;1;1;;NA;NA;4;1;NA
191;20.03.2012;328;578;10,3;92,3;228;8,02;7,5;40;1;1;;NA;NA;4;1;NA
185;20.03.2012;328;503;10,82;92,9;182,6;7,72;5,6;20;1;1;10 m unter der BrŸcke;NA;NA;4;1;NA
187;20.03.2012;328;592;10,88;92,8;221;7,92;5,8;15;1;1;;NA;NA;4;1;NA
184;20.03.2012;328;459;10,4;92;188,5;7,7;5,1;15;1;1;5 m von der Wand;NA;NA;4;1;NA
186;20.03.2012;328;0;10,57;91,4;203,6;7,5;6,5;10;1;1;20 m unterhalb d. Steg;NA;NA;4;1;NA
189;20.03.2012;328;350;10,39;93,3;264;7,71;5,1;0,3;1;1;;NA;NA;4;1;NA
325;03.04.2012;327;576;10,11;93,4;224;7,77;7,5;80;1;1;;NA;NA;1;1;NA
327;03.04.2012;327;578;10,24;94;231;7,93;7,3;40;1;1;;NA;NA;1;1;NA
324;03.04.2012;327;592;10,59;93,8;229;7,91;6,2;3;1;1;;NA;NA;1;1;NA
326;03.04.2012;327;350;10,2;94;266;7,94;5,4;0,5;1;1;;NA;NA;1;1;NA
331;04.04.2012;334;978;10,66;94,9;176;7,53;6,3;70;1;1;;NA;NA;1;1;NA
329;04.04.2012;334;503;10,52;94,2;171,4;7,57;5,9;20;1;1;5 m unterhalb der BrŸcke;NA;NA;1;1;NA
328;04.04.2012;334;459;9,97;92,5;180,5;7,87;5,4;20;1;1;10 m unterhalb der Wand;NA;NA;1;1;NA
330;04.04.2012;334;0;10,28;91,4;194;7,45;6,6;12;1;1;25 m unterhalb der BrŸcke;NA;NA;1;1;NA
335;17.04.2012;345;576;10,25;92,6;227;7,86;7,1;90;1;1;;NA;NA;4;2;NA
337;17.04.2012;345;978;10,45;92,2;185,7;7,87;6,9;80;1;1;;NA;NA;4;2;NA
338;17.04.2012;345;578;10,35;94,1;233;8,13;7,2;45;1;1;;NA;NA;4;2;NA
332;17.04.2012;345;503;10,21;90,2;179,7;7,93;5,4;20;1;1;10 m unterhalb der BrŸcke;NA;NA;4;2;NA
333;17.04.2012;345;0;10,32;90,6;201,2;7,96;6,2;12;1;1;25 m unterhalb der BrŸcke;NA;NA;4;2;NA
334;17.04.2012;345;592;10,63;92,5;222;8,12;5,7;8;1;1;;NA;NA;4;2;NA
336;17.04.2012;345;350;10,15;93;265;7,76;5,3;1;1;1;;NA;NA;4;2;NA
350;01.05.2012;327;978;10,93;95,4;144;7,63;5,63;1000;1;1;;NA;NA;1;1;NA
348;01.05.2012;327;576;10,31;93,7;229;7,93;7,1;100;1;1;;NA;NA;1;1;NA
351;01.05.2012;327;578;10,47;94,9;232;8,24;NA;50;1;1;;NA;NA;1;1;NA
345;01.05.2012;327;503;12,64;109,7;140,6;8,06;5,1;20;1;1;;NA;NA;1;1;NA
346;01.05.2012;327;0;10,95;94,8;160,2;7,85;5,7;20;1;1;;NA;NA;1;1;NA
344;01.05.2012;327;459;10,8;96,7;156,3;8,15;5;15;1;1;;NA;NA;1;1;NA
347;01.05.2012;327;592;10,64;93,2;203,2;8,05;5,6;10;1;1;;NA;NA;1;1;NA
349;01.05.2012;327;350;10,33;94,8;269;8,25;5,6;3;1;1;;NA;NA;1;1;NA
370;16.05.2012;328;978;11,06;95;142,9;7,96;5,3;1000;1;1;;NA;NA;2;6;NA
368;16.05.2012;328;576;10,49;94,9;229;8,04;7,1;110;1;1;;NA;NA;2;6;NA
365;16.05.2012;328;503;11,06;95,5;139,6;7,92;5;80;1;1;20m unter der BrŸke;NA;NA;2;6;NA
367;16.05.2012;328;578;10,64;95,5;233;8,06;7,2;20;1;1;;NA;NA;2;6;NA
364;16.05.2012;328;459;10,66;94;160,9;7,92;4,6;15;1;1;;NA;NA;2;6;NA
371;16.05.2012;328;592;10,84;93,6;190,4;7,96;5,7;10;1;1;;NA;NA;2;6;NA
366;16.05.2012;328;0;10,87;93,2;163,1;7,89;5,6;10;1;1;30m untern Steg;NA;NA;2;6;NA
369;16.05.2012;328;350;10,58;95,3;270;7,52;5,3;2;1;1;;NA;NA;2;6;NA
390;30.05.2012;328;978;11,14;95,7;134,3;8,07;5,3;1000;1;1;;NA;NA;1;1;NA
388;30.05.2012;328;576;10,75;97,8;231;8,02;7;80;1;1;;NA;NA;1;1;NA
391;30.05.2012;328;578;10,35;94,7;232;7,97;7,4;50;1;1;;NA;NA;1;1;NA
385;30.05.2012;328;503;11,22;98;135,2;8,12;5,1;30;1;1;;NA;NA;1;1;NA
387;30.05.2012;328;592;10,01;91,1;175,9;7,82;5,9;20;1;1;;NA;NA;1;1;NA
384;30.05.2012;328;459;10,79;95,4;152,5;8,1;4,9;15;1;1;;NA;NA;1;1;NA
389;30.05.2012;328;350;10,24;94,2;269;7,85;5,6;5;1;1;;NA;NA;1;1;NA
386;30.05.2012;328;0;10,36;92,1;148,4;7,9;5,4;5;1;1;;NA;NA;1;1;NA
418;14.06.2012;111;978;11,39;97,9;145,5;7,95;5,2;1000;1;2;;NA;NA;0;0;NA
416;14.06.2012;111;576;11,2;95,5;199,2;7,92;5,6;500;1;2;500l oben und 500 unten;NA;NA;0;0;NA
419;14.06.2012;111;578;10,76;97,7;234;7,38;7,2;60;1;2;mit Foto vergleichen;NA;NA;0;0;NA
413;14.06.2012;111;503;13,23;114;143,3;8,08;4,8;27;1;2;;NA;NA;0;0;NA
415;14.06.2012;111;592;11,02;95,5;199,2;7,92;5,6;25;1;2;;NA;NA;0;0;NA
414;14.06.2012;111;0;11,31;96,9;158,8;8,08;5,5;17;1;2;;NA;NA;0;0;NA
412;14.06.2012;111;459;11,26;99,2;162,9;7,61;4,7;7;1;2;;NA;NA;0;0;NA
417;14.06.2012;111;350;10,53;95,3;269;7,74;5,3;1;1;2;;NA;NA;0;0;NA
406;27.06.2012;111;978;11,25;97,1;153;;5,3;400;1;1;;NA;NA;3;3;NA
405;27.06.2012;111;503;11,92;102,8;135,9;7,77;4,7;21;1;1;Alle Bacherl zusammen;NA;NA;3;3;NA
424;27.06.2012;111;459;10,88;95,6;153,3;7,67;4,5;6;1;1;;NA;NA;3;3;NA
409;29.06.2012;111;576;8,86;89,1;228;7,96;8,1;300;1;2;Ÿber die Mauer auch noch mal 300;NA;NA;1;5;NA
411;29.06.2012;111;578;10,47;95,5;232;8;7,2;60;1;2;O2 Sonde mu§ geeicht werden, pH-Sonde defekt;NA;NA;1;5;NA
408;29.06.2012;111;592;11,02;94,9;188,6;7,76;5,5;50;1;1;Gesamte SchŸttung 50;NA;NA;1;11;NA
407;29.06.2012;111;0;11,08;94,5;159,6;7,79;5,3;40;1;1;30 m unterhalb der BrŸcke;NA;NA;1;11;NA
410;29.06.2012;111;350;10,2;94,6;266;7,64;6,5;3;1;2;Gewitter beginnt;NA;NA;1;11;NA
431;11.07.2012;111;978;11,13;96,8;162;8,31;5,4;500;1;2;Schaumbildung;NA;NA;1;4;NA
429;11.07.2012;111;576;10,26;93,3;228;8,36;7,2;500;1;2;500 unten und 500 oben?;NA;NA;1;4;NA
